drug_name,medical_condition,side_effects,generic_name,brand_names
amlodipine,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, when you first start taking amlodipine, your angina may get worse or you could have a heart attack. Seek emergency medical attention or call your doctor right away if you have symptoms such as: chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Amlodipine may cause serious side effects. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; worsening chest pain; swelling in your feet or ankles; severe drowsiness; or a light-headed feeling, like you might pass out. Common side effects of amlodipine may include: dizziness; drowsiness; feeling tired; stomach pain; nausea; flushing (warmth, redness, or tingly feeling).",amlodipine,"Katerzia, Norvasc"
ranolazine,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ranolazine may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; fast or pounding heartbeats, fluttering in your chest; or kidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of ranolazine may include: nausea, constipation ; headache ; or dizziness.",ranolazine,"Ranexa, Aspruzyo Sprinkle"
enoxaparin,Angina,"hives ; itching or burning skin; difficult breathing; swelling of your face, lips, tongue, or throat. Also seek emergency medical attention if you have symptoms of a spinal blood clot : back pain, numbness or muscle weakness in your lower body, or loss of bladder or bowel control. Enoxaparin may cause serious side effects. Call your doctor at once if you have: unusual bleeding, or any bleeding that will not stop; easy bruising, purple or red spots under your skin; nosebleeds , bleeding gums; abnormal vaginal bleeding , blood in your urine or stools; coughing up blood or vomit that looks like coffee grounds; signs of bleeding in the brain--sudden weakness (especially on one side of the body), sudden severe headache , problems with speech or vision; or low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. Common side effects of enoxaparin may include: nausea , diarrhea ; anemia; confusion; or pain, bruising, redness, or irritation where the medicine was injected.",enoxaparin,Lovenox
isosorbide dinitrate,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Isosorbide dinitrate may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; worsening angina pain; fast or slow heart rate ; or pounding heartbeats or fluttering in your chest. Isosorbide dinitrate can cause severe headaches. These headaches may gradually become less severe as you continue to use nitroglycerin. Do not stop taking isosorbide dinitrate to avoid headaches. Ask your doctor before using any headache pain medication. Common side effects may be more likely to occur, such as: headache; or flushing (warmth, redness, or tingly feeling).",isosorbide dinitrate,"Dilatrate-SR, Isochron, Isordil, Isordil Titradose"
atenolol,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: new or worsening chest pain; slow or uneven heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or a cold feeling in your hands and feet. Common atenolol side effects may include include: cold hands or feet; dizziness ; tiredness; or depressed mood.",atenolol,Tenormin
carvedilol,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have a serious side effect such as: a light-headed feeling, like you might pass out; slow or uneven heartbeats; swelling, rapid weight gain, feeling short of breath (even with mild exertion); cold feeling or numbness in your fingers or toes; chest pain, dry cough, wheezing, chest tightness, trouble breathing; or high blood sugar (increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss). Common carvedilol side effects may include: weakness, dizziness; diarrhea; dry eyes; tired feeling; or weight gain.",carvedilol,"Coreg, Coreg CR"
amlodipine / atorvastatin,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Amlodipine and atorvastatin may cause serious side effects. Call your doctor at once if you have: muscle stiffness, tremors, abnormal muscle movements; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; severe drowsiness, feeling like you might pass out; worsening chest pain, or chest pain spreading to the arm or jaw, nausea , sweating, general ill feeling; or liver problems--upper stomach pain, loss of appetite, tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of amlodipine and atorvastatin may include: muscle or joint pain; diarrhea ; nausea, upset stomach ; or swelling in your legs or ankles.",amlodipine and atorvastatin,Caduet
propranolol,Angina,"slow or uneven heartbeats; a light-headed feeling, like you might pass out; wheezing or trouble breathing; sudden weakness, vision problems, or loss of coordination (especially in a child with hemangioma that affects the face or head); cold feeling in your hands and feet; depression , confusion, hallucinations; heart problems - swelling, rapid weight gain, feeling short of breath; low blood sugar - headache , hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky; or low blood sugar in a baby - pale skin, blue or purple skin, sweating, fussiness, crying, not wanting to eat, feeling cold, drowsiness, weak or shallow breathing (breathing may stop for short periods), seizure (convulsions), or loss of consciousness. Common propranolol side effects may include: dizziness, tiredness; nausea , vomiting, diarrhea , constipation , stomach cramps; sleep problems ( insomnia ); or runny or stuffy nose, cough, sore throat, hoarse voice.",propranolol,"Hemangeol, Inderal LA, Inderal XL, InnoPran XL, Inderal"
verapamil,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: chest pain, fast or slow heart rate ; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; fever, upper stomach pain, not feeling well; or lung problems-- anxiety , sweating, pale skin, wheezing, gasping for breath, cough with foamy mucus. Common side effects may include: nausea , constipation ; headache , dizziness ; or low blood pressure.",verapamil (oral/injection),"Calan, Isoptin SR, Verelan, Calan SR, Isoptin I.V., Covera-HS, Verelan PM"
Bayer Aspirin Regimen,Angina,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of bleeding like throwing up or coughing up blood ; vomit that looks like coffee grounds; blood in the urine; black, red, or tarry stools; bleeding from the gums; abnormal vaginal bleeding ; bruises without a cause or that get bigger; or bleeding you cannot stop. Signs of kidney problems like unable to pass urine, change in how much urine is passed, blood in the urine, or a big weight gain. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of high potassium levels like a heartbeat that does not feel normal; feeling confused; feeling weak, lightheaded, or dizzy; feeling like passing out; numbness or tingling; or shortness of breath. Signs of too much acid in the blood (acidosis) like confusion; fast breathing; fast heartbeat ; a heartbeat that does not feel normal; very bad stomach pain, upset stomach, or throwing up; feeling very sleepy; shortness of breath; or feeling very tired or weak. Weakness on 1 side of the body, trouble speaking or thinking, change in balance, drooping on one side of the face, or blurred eyesight. Very bad dizziness or passing out. Very bad headache . Ringing in the ears, hearing loss , or any other changes in hearing. Feeling agitated. Seizures . Bayer Aspirin Regimen side effects",Aspirin Enteric-Coated and Buffered Tablets,Ecotrin
Nitro-Dur,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Nitro-Dur may cause serious side effects. Call your doctor at once if you have: worsening chest pain; pounding heartbeats or fluttering in your chest; slow heart rate ; a light-headed feeling, like you might pass out; or heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating. Serious side effects may be more likely in older adults. Nitro-Dur can cause severe headaches. These headaches may gradually become less severe as you continue to use this medicine. Do not stop using Nitro-Dur. Ask your doctor before using any headache pain medication. Common side effects of Nitro-Dur may include: headache; or feeling light-headed.",nitroglycerin (transdermal),"Minitran, Nitro TD Patch-A"
Nitro-Bid,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Nitro-Bid may cause serious side effects. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; slow heart rate ; a light-headed feeling, like you might pass out; or heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating. Nitro-Bid can cause severe headaches. These headaches may gradually become less severe as you continue to use this medicine. Do not stop taking Nitro-Bid. Ask your doctor before using any headache pain medication. Common side effects of Nitro-Bid may include: flushing (warmth, redness, or tingly feeling); headache; or dizziness.",nitroglycerin (topical),Nitrol Appli-Kit
nadolol,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Nadolol may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; slow heartbeats; shortness of breath (even with mild exertion), swelling, rapid weight gain; or bronchospasm (wheezing, chest tightness, trouble breathing). Common side effects of nadolol may include: numbness or cold feeling in your hands or feet; dizziness; feeling tired; upset stomach , vomiting , diarrhea , constipation ; vision problems; or mood changes, confusion, memory problems.",nadolol,Corgard
bivalirudin,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your caregivers right away if you have: a light-headed feeling, like you might pass out; easy bruising or bleeding ( nosebleeds , bleeding gums, heavy menstrual bleeding ); bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; sudden numbness or weakness, problems with vision or speech; urine that looks red, pink, or brown; swelling or redness in an arm or leg; or bleeding from wounds or needle injections, any bleeding that will not stop. Bleeding is the most common side effect of bivalirudin.",bivalirudin,Angiomax
dalteparin,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Also seek emergency medical attention if you have symptoms of a spinal blood clot : back pain, numbness or muscle weakness in your lower body, or loss of bladder or bowel control. Dalteparin may cause serious side effects. Stop using dalteparin and call your doctor at once if you have: unusual bleeding (nose, mouth, vagina, or rectum), bleeding from wounds or needle injections, any bleeding that will not stop; easy bruising, purple or red pinpoint spots under your skin; black or bloody stools, coughing up blood or vomit that looks like coffee grounds; sudden weakness, severe headache , confusion, or problems with speech, vision, or balance; or trouble breathing. Common side effects of dalteparin may include: low platelet levels (bruising, bleeding); or pain, bruising, or swelling where the medicine was injected.",dalteparin,Fragmin
eptifibatide,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Tell your caregivers right away if you have: a light-headed feeling, like you might pass out; any bleeding that will not stop; bleeding around your IV or catheter, or in any place where your skin has been punctured with a needle; red or pink urine; or signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. The risk of bleeding may be higher in older adults. Common side effects of eptifibatide may include: bleeding; or feeling lightheaded.",eptifibatide,Integrilin
timolol,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Timolol may cause serious side effects. Call your doctor at once if you have: new or worsening chest pain; slow or uneven heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; muscle weakness; drooping eyelids, vision problems; or a cold feeling in your hands and feet. Common side effects of timolol may include: slow heartbeats; dizziness ; or tiredness.",timolol,Blocadren
Xanax,Anxiety,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Alprazolam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Common side effects of Xanax may include: drowsiness; or feeling light-headed. Xanax may cause serious side effects. Call your doctor at once if you have: weak or shallow breathing; a light-headed feeling, like you might pass out; a seizure; hallucinations, risk-taking behavior; increased energy, decreased need for sleep; racing thoughts, being agitated or talkative; double vision; or jaundice (yellowing of the skin or eyes). Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury. After you stop using Xanax, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. Some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. Tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin.",alprazolam,Xanax XR
clonazepam,Anxiety,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Clonazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: new or worsening seizures; severe drowsiness; weak or shallow breathing; unusual changes in mood or behavior; confusion, paranoia, nightmares , hallucinations; thoughts of suicide or hurting yourself; unusual or involuntary eye movements. Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury. Common clonazepam side effects may include: drowsiness, dizziness; feeling tired or depressed; memory problems; or problems with walking or coordination. After you stop using clonazepam, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. Some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. Tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin.",clonazepam,"KlonoPIN, KlonoPIN Wafer"
lorazepam,Anxiety,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Lorazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Call your doctor at once if you have: severe drowsiness; unusual changes in mood or behavior, being agitated or talkative; sudden restless feeling or excitement; thoughts of suicide or hurting yourself; confusion, aggression, hallucinations; sleep problems; vision changes; or dark urine, or jaundice (yellowing of the skin or eyes). Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury. Common lorazepam side effects may include: dizziness, drowsiness; weakness; or feeling unsteady. After you stop using lorazepam, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. Some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. Tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin.",lorazepam (oral),"Ativan, Lorazepam Intensol, Loreev XR"
buspirone,Anxiety,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: chest pain; shortness of breath; or a light-headed feeling, like you might pass out. Common buspirone side effects may include: headache; dizziness, drowsiness; sleep problems (insomnia); nausea, upset stomach; or feeling nervous or excited.",buspirone,"BuSpar, Vanspar"
diazepam,Anxiety,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Diazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: severe drowsiness or dizziness; trouble breathing; confusion, paranoia; or new or worsening seizures. Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury. Common diazepam side effects may include: drowsiness; feeling tired; muscle weakness; or problems with balance or muscle movement. After you stop using diazepam, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. Some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. Tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin.",diazepam (oral),Valium
escitalopram,Anxiety,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; racing thoughts, unusual risk-taking behavior, feelings of extreme happiness or sadness; pain or burning when you urinate; (in a child taking escitalopram) slow growth or weight gain; low levels of sodium in the body - headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Common escitalopram side effects may include: painful urination; dizziness , drowsiness, tiredness, weakness; feeling anxious or agitated; increased muscle movements, feeling shaky; sleep problems ( insomnia ); sweating, dry mouth, increased thirst, loss of appetite; nausea, constipation ; yawning; nosebleed, heavy menstrual periods; or decreased sex drive, impotence , or difficulty having an orgasm.",escitalopram,Lexapro
gabapentin,Anxiety,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, upper stomach pain, or yellowing of your skin or eyes. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself. Gabapentin may cause serious side effects. Call your doctor at once if you have: weak or shallow breathing; blue-colored skin, lips, fingers, and toes; confusion, extreme drowsiness or weakness; problems with balance or muscle movement; unusual or involuntary eye movements; or increased seizures. Gabapentin can cause life-threatening breathing problems. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Breathing problems may be more likely in older adults or in people with COPD. Some side effects are more likely in children taking gabapentin. Contact your doctor if the child taking this medicine has any of the following side effects: changes in behavior; memory problems; trouble concentrating; or acting restless, hostile, or aggressive. Common side effects of gabapentin may include: fever, chills, sore throat, body aches, unusual tiredness; jerky movements; headache; double vision; swelling of your legs and feet; tremors; trouble speaking; dizziness, drowsiness, tiredness; problems with balance or eye movements; or nausea, vomiting.",gabapentin,"Gralise, Neurontin, Gabarone"
trazodone,Anxiety,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking trazodone and call your doctor at once if you have a penis erection that is painful or lasts 6 hours or longer. This is a medical emergency and could lead to a serious condition that must be corrected with surgery. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); slow heartbeats; unusual thoughts or behavior; easy bruising, unusual bleeding; or low levels of sodium in the body - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common trazodone side effects may include: drowsiness, dizziness, tiredness; swelling; weight loss; blurred vision; diarrhea, constipation ; or stuffy nose.",trazodone,"Desyrel, Desyrel Dividose, Oleptro"
duloxetine,Anxiety,"pounding heartbeats or fluttering in your chest; a light-headed feeling, like you might pass out; easy bruising, unusual bleeding; vision changes; painful or difficult urination; liver problems - right-sided upper stomach pain, itching, dark urine, jaundice (yellowing of the skin or eyes); low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common duloxetine side effects may include: drowsiness; nausea, constipation , loss of appetite; dry mouth; or increased sweating.",duloxetine,"Cymbalta, Drizalma Sprinkle, Irenka"
venlafaxine,Anxiety,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Venlafaxine may cause serious side effects. Call your doctor at once if you have: blurred vision, eye pain or redness, seeing halos around lights; cough, chest tightness, trouble breathing; a seizure (convulsions); unusual bleeding - nosebleeds , bleeding gums, abnormal vaginal bleeding , any bleeding that will not stop; low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea Common side effects of venlafaxine may include: headache, dizziness , drowsiness, tiredness; feeling anxious, nervous, or jittery; sleep problems, unusual dreams; tremors; fast heartbeats; blurred vision; nausea, vomiting, diarrhea, constipation ; changes in weight or appetite; dry mouth, yawning; increased sweating; or sexual problems.",venlafaxine,"Effexor XR, Effexor"
