drug_name,medical_condition,side_effects,generic_name,brand_names
dexbrompheniramine / phenylephrine,Allergies,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: fast or irregular heartbeats; confusion, hallucinations; a seizure; ringing in your ears; or little or no urination. Common side effects of dexbrompheniramine and phenylephrine may include: headache, dizziness , drowsiness; blurred vision, double vision; dry mouth, nose, or throat; constipation , upset stomach ; or trouble sleeping.",dexbrompheniramine and phenylephrine,Ala-Hist PE
Equaline Sleep Aid,Allergies,,doxylamine succinate,
Equate Sleep Aid,Allergies,,doxylamine succinate,
H.P. Acthar Gel,Allergies,"hives ; nausea , feeling light-headed; difficulty breathing; swelling of your face, lips, tongue, or throat. Acthar Gel, H.P. may cause serious side effects. Call your doctor at once if you have: fever, chills, sore throat , skin warmth or redness, or other signs of an infection; unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain , or seeing halos around lights; a seizure; decreased or increased adrenal gland hormones --changes in weight or appetite, tiredness, muscle weakness, skin discoloration, thinning skin, increased body hair, menstrual changes, loss of appetite, stomach pain; high blood pressure--severe headache , blurred vision, pounding in your neck or ears; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; signs of eye infection--swelling, redness, severe discomfort, crusting or drainage; or signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. Be sure your family, caregivers, and close friends also know how to help you watch for these side effects. Acthar Gel, H.P. can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Acthar Gel, H.P.. Common side effects of Acthar Gel, H.P. may include: increased blood pressure; thinning skin, increased sweating; fluid retention (swelling in your hands or feet, puffiness in your face); mood changes, irritability; increased appetite; or weight gain.",corticotropin,
aspirin,Angina,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Aspirin may cause serious side effects. Stop using this medicine and call your doctor at once if you have: ringing in your ears, confusion, hallucinations, rapid breathing, seizure (convulsions); severe nausea, vomiting, or stomach pain; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; fever lasting longer than 3 days; or swelling, or pain lasting longer than 10 days. Common side effects of aspirin may include: upset stomach; heartburn; drowsiness; or mild headache.",aspirin (oral),"Arthritis Pain, Aspi-Cor, Aspir-Low, Bufferin, Durlaza, Ecotrin, Ecpirin, Miniprin, Vazalore."
nitroglycerin,Angina,"hives , sweating, pale skin; nausea , vomiting; feeling weak or light-headed; difficult breathing; swelling of your face, lips, tongue, or throat. Nitroglycerin may cause serious side effects. Call your doctor at once if you have: severe or throbbing headaches that do not become less severe with continued use of nitroglycerin; pounding heartbeats or fluttering in your chest; slow heart rate ; a light-headed feeling, like you might pass out; blurred vision or dry mouth; or heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Nitroglycerin can cause severe headaches that should become less severe as you continue to use the medicine. Common side effects of nitroglycerin may include: flushing (sudden warmth, redness, or tingly feeling); feeling light-headed, fainting; headache, dizziness; or numbness, tingling, burning pain.",nitroglycerin (oral/sublingual),"GoNitro, Nitromist, Nitrostat, Nitro-Time"
Ranexa,Angina,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; headache with chest pain and severe dizziness, fast or pounding heartbeats; or kidney problems - little or no urination; painful or difficult urination, swelling in your feet or ankles; feeling tired or short of breath. Common Ranexa side effects may include: nausea, constipation; headache; or dizziness.",ranolazine,
metoprolol,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Metoprolol may cause serious side effects. Call your doctor at once if you have: very slow heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or cold feeling in your hands and feet. Common side effects of metoprolol may include: dizziness ; tired feeling; depression ; confusion; memory problems; nightmares ; trouble sleeping; diarrhea; mild itching or rash.",metoprolol,"Kapspargo Sprinkle, Lopressor, Toprol-XL"
isosorbide mononitrate,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; worsening angina pain; fast or slow heart rate; or pounding heartbeats or fluttering in your chest. Isosorbide mononitrate can cause severe headaches. These headaches may gradually become less severe as you continue to use nitroglycerin. Do not stop taking this medicine to avoid headaches. Ask your doctor before using any headache pain medication. Common isosorbide mononitrate side effects may include: headache; dizziness upon standing; or flushing (warmth, redness, or tingly feeling).",isosorbide mononitrate,"Imdur, Monoket, ISMO"
amlodipine,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, when you first start taking amlodipine, your angina may get worse or you could have a heart attack. Seek emergency medical attention or call your doctor right away if you have symptoms such as: chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Amlodipine may cause serious side effects. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; worsening chest pain; swelling in your feet or ankles; severe drowsiness; or a light-headed feeling, like you might pass out. Common side effects of amlodipine may include: dizziness; drowsiness; feeling tired; stomach pain; nausea; flushing (warmth, redness, or tingly feeling).",amlodipine,"Katerzia, Norvasc"
Nitrostat,Angina,"hives , sweating, pale skin; nausea , vomiting; feeling weak or light-headed; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe or throbbing headaches that do not become less severe with continued use of Nitrostat; pounding heartbeats or fluttering in your chest; slow heart rate ; a light-headed feeling, like you might pass out; blurred vision or dry mouth; or heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Nitroglycerin can cause severe headaches that should become less severe as you continue to use the medicine. Common Nitrostat side effects may include: flushing (sudden warmth, redness, or tingly feeling); feeling light-headed, fainting; headache, dizziness; or numbness, tingling, burning pain.",nitroglycerin (sublingual),
ranolazine,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ranolazine may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; fast or pounding heartbeats, fluttering in your chest; or kidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of ranolazine may include: nausea, constipation ; headache ; or dizziness.",ranolazine,"Ranexa, Aspruzyo Sprinkle"
enoxaparin,Angina,"hives ; itching or burning skin; difficult breathing; swelling of your face, lips, tongue, or throat. Also seek emergency medical attention if you have symptoms of a spinal blood clot : back pain, numbness or muscle weakness in your lower body, or loss of bladder or bowel control. Enoxaparin may cause serious side effects. Call your doctor at once if you have: unusual bleeding, or any bleeding that will not stop; easy bruising, purple or red spots under your skin; nosebleeds , bleeding gums; abnormal vaginal bleeding , blood in your urine or stools; coughing up blood or vomit that looks like coffee grounds; signs of bleeding in the brain--sudden weakness (especially on one side of the body), sudden severe headache , problems with speech or vision; or low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. Common side effects of enoxaparin may include: nausea , diarrhea ; anemia; confusion; or pain, bruising, redness, or irritation where the medicine was injected.",enoxaparin,Lovenox
isosorbide dinitrate,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Isosorbide dinitrate may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; worsening angina pain; fast or slow heart rate ; or pounding heartbeats or fluttering in your chest. Isosorbide dinitrate can cause severe headaches. These headaches may gradually become less severe as you continue to use nitroglycerin. Do not stop taking isosorbide dinitrate to avoid headaches. Ask your doctor before using any headache pain medication. Common side effects may be more likely to occur, such as: headache; or flushing (warmth, redness, or tingly feeling).",isosorbide dinitrate,"Dilatrate-SR, Isochron, Isordil, Isordil Titradose"
atenolol,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: new or worsening chest pain; slow or uneven heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or a cold feeling in your hands and feet. Common atenolol side effects may include include: cold hands or feet; dizziness ; tiredness; or depressed mood.",atenolol,Tenormin
carvedilol,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have a serious side effect such as: a light-headed feeling, like you might pass out; slow or uneven heartbeats; swelling, rapid weight gain, feeling short of breath (even with mild exertion); cold feeling or numbness in your fingers or toes; chest pain, dry cough, wheezing, chest tightness, trouble breathing; or high blood sugar (increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss). Common carvedilol side effects may include: weakness, dizziness; diarrhea; dry eyes; tired feeling; or weight gain.",carvedilol,"Coreg, Coreg CR"
Norvasc,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, when you first start taking Norvasc, your angina may get worse or you could have a heart attack. Seek emergency medical attention or call your doctor right away if you have symptoms such as: chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; worsening chest pain; swelling in your feet or ankles; severe drowsiness; or a light-headed feeling, like you might pass out. Common Norvasc side effects may include: dizziness, drowsiness; feeling tired; stomach pain, nausea; or flushing (warmth, redness, or tingly feeling); swelling in your ankles and lower part of your legs.",amlodipine,
Lopressor,Angina,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Blurred vision chest pain or discomfort confusion dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position slow or irregular heartbeat sweating unusual tiredness or weakness Less common Bloating or swelling of the face, arms, hands, lower legs, or feet chest tightness cough decreased urine output difficult or labored breathing difficulty with speaking dilated neck veins disturbed color perception double vision fast, pounding, or racing heartbeat or pulse halos around lights headache inability to move the arms, legs, or facial muscles inability to speak irregular breathing loss of vision night blindness noisy breathing overbright appearance of lights pain, tension, and weakness upon walking that subsides during periods of rest paleness or cold feeling in the fingertips and toes rapid weight gain seeing, hearing, or feeling things that are not there short-term memory loss slow speech swelling of the face, fingers, feet, or lower legs tingling of the hands or feet tingling or pain in the fingers or toes when exposed to cold temperatures trouble breathing tunnel vision unusual weight gain or loss Rare Bluish color of the skin of the fingers or toes chills clay-colored stools continuing loss of appetite continuing or severe abdominal or stomach pain continuing or severe nausea and vomiting dark urine difficulty with moving fever hoarseness increased frequency of urination itching skin light-colored stools lower back or side pain muscle pain or stiffness numbness of the fingers or toes pain, swelling, or redness in the joints rash sore throat sores, ulcers, or white spots on the lips or in the mouth unpleasant breath odor unusual bleeding or bruising upper right abdominal or stomach pain vomiting of blood weakness yellow eyes and skin Incidence not known Black, tarry stools bleeding gums blood in the urine or stools burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings cool, sweaty skin pinpoint red spots on the skin Symptoms of overdose Bluish color of the fingernails, lips, skin, palms, or nail beds change in consciousness loss of consciousness no blood pressure or pulse stopping of the heart very drowsy or sleepy Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Less common Belching bloated feeling decreased interest in sexual intercourse difficulty having a bowel movement discouragement dry mouth excess air or gas in stomach or bowels feeling of constant movement of self or surroundings feeling of fullness feeling of indigestion feeling sad or empty inability to have or keep an erection irritability loss in sexual ability, desire, drive, or performance loss of interest or pleasure nightmares pain in the chest below the breastbone passing gas redness or other discoloration of the skin runny or stuffy nose sensation of spinning sneezing tiredness trouble concentrating trouble sleeping Rare Bone pain continuing ringing or buzzing or other unexplained noise in the ears dry eyes hair loss or thinning of the hair hearing loss increased sensitivity of the skin to sunlight pain in the penis on erection severe sunburn Incidence not known Change in taste or bad, unusual, or unpleasant (after) taste fear or nervousness hives or welts Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Lopressor side effects",metoprolol (oral route),
Bayer Aspirin,Angina,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Abdominal or stomach pain, cramping, or burning black, tarry stools bloody or cloudy urine change in consciousness chest pain or discomfort confusion constipation convulsions, severe or continuing dark urine decreased frequency or amount of urine diarrhea difficult breathing drowsiness fainting fast breathing feeling that something terrible will happen fever general tiredness and weakness greatly decreased frequency of urination or amount of urine headache heartburn increased thirst indigestion irregular heartbeat light-colored stools loss of appetite loss of consciousness lower back or side pain muscle cramping and weakness muscle tremors nausea or vomiting nervousness numbness or tingling in the hands, feet, or lips panic rapid, deep breathing restlessness seizures skin rash stomach cramps swelling of the face, fingers, or lower legs unusual bleeding or bruising unusual tiredness or weakness upper right abdominal or stomach vomiting of blood or material that looks like coffee grounds weakness or heaviness of the legs weight gain yellow eyes and skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Acid or sour stomach anxiety belching dizziness dry mouth hyperventilation irritability shaking stomach discomfort, upset, or pain trouble sleeping unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Bayer Aspirin side effects",aspirin (oral route),
Coreg,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; slow or uneven heartbeats; cold feeling or numbness in your fingers or toes; chest pain, dry cough, wheezing, chest tightness; heart problems - swelling, rapid weight gain, feeling short of breath; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. Common Coreg side effects may include: dizziness; slow heartbeats; diarrhea ; weight gain; dry eyes; or problems wearing contact lenses.",carvedilol,Coreg CR
Toprol-XL,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: very slow heartbeat, excessive tiredness, or chest pain; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or cold feeling in your hands and feet. Common Toprol-XL side effects may include: dizziness , tired feeling; depression , confusion, memory problems; nightmares , trouble sleeping; diarrhea; or mild itching or rash.","metoprolol succinate tablet, extended release",
amlodipine / atorvastatin,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Amlodipine and atorvastatin may cause serious side effects. Call your doctor at once if you have: muscle stiffness, tremors, abnormal muscle movements; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; severe drowsiness, feeling like you might pass out; worsening chest pain, or chest pain spreading to the arm or jaw, nausea , sweating, general ill feeling; or liver problems--upper stomach pain, loss of appetite, tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of amlodipine and atorvastatin may include: muscle or joint pain; diarrhea ; nausea, upset stomach ; or swelling in your legs or ankles.",amlodipine and atorvastatin,Caduet
Ecotrin,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ecotrin may cause serious side effects. Stop using Ecotrin and call your doctor at once if you have: ringing in your ears, confusion, hallucinations, rapid breathing, seizure (convulsions); severe nausea , vomiting, or stomach pain; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; fever lasting longer than 3 days; or swelling, or pain lasting longer than 10 days. Common side effects of Ecotrin may include: upset stomach , heartburn ; drowsiness; or mild headache .",aspirin (oral),"Arthritis Pain, Aspi-Cor, Aspir-Low, Durlaza, Ecotrin, Miniprin, Vazalore"
propranolol,Angina,"slow or uneven heartbeats; a light-headed feeling, like you might pass out; wheezing or trouble breathing; sudden weakness, vision problems, or loss of coordination (especially in a child with hemangioma that affects the face or head); cold feeling in your hands and feet; depression , confusion, hallucinations; heart problems - swelling, rapid weight gain, feeling short of breath; low blood sugar - headache , hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky; or low blood sugar in a baby - pale skin, blue or purple skin, sweating, fussiness, crying, not wanting to eat, feeling cold, drowsiness, weak or shallow breathing (breathing may stop for short periods), seizure (convulsions), or loss of consciousness. Common propranolol side effects may include: dizziness, tiredness; nausea , vomiting, diarrhea , constipation , stomach cramps; sleep problems ( insomnia ); or runny or stuffy nose, cough, sore throat, hoarse voice.",propranolol,"Hemangeol, Inderal LA, Inderal XL, InnoPran XL, Inderal"
Easprin,Angina,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Abdominal or stomach pain, cramping, or burning black, tarry stools bloody or cloudy urine change in consciousness chest pain or discomfort confusion constipation convulsions, severe or continuing dark urine decreased frequency or amount of urine diarrhea difficult breathing drowsiness fainting fast breathing feeling that something terrible will happen fever general tiredness and weakness greatly decreased frequency of urination or amount of urine headache heartburn increased thirst indigestion irregular heartbeat light-colored stools loss of appetite loss of consciousness lower back or side pain muscle cramping and weakness muscle tremors nausea or vomiting nervousness numbness or tingling in the hands, feet, or lips panic rapid, deep breathing restlessness seizures skin rash stomach cramps swelling of the face, fingers, or lower legs unusual bleeding or bruising unusual tiredness or weakness upper right abdominal or stomach vomiting of blood or material that looks like coffee grounds weakness or heaviness of the legs weight gain yellow eyes and skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Acid or sour stomach anxiety belching dizziness dry mouth hyperventilation irritability shaking stomach discomfort, upset, or pain trouble sleeping unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Easprin side effects",aspirin (oral route),
Nitrolingual Pumpspray,Angina,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Less common Bloating or swelling of the face, arms, hands, lower legs, or feet burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings difficult or labored breathing feeling faint, dizzy, or lightheadedness feeling of warmth or heat flushing or redness of the skin, especially on the face and neck headache rapid weight gain sweating tightness in the chest tingling of the hands or feet unusual weight gain or loss Rare Bluish-colored lips, fingernails, or palms dark urine fever pale skin rapid heart rate sore throat unusual bleeding or bruising unusual tiredness or weakness Incidence not known Arm, back, or jaw pain blurred vision chest pain or discomfort chest tightness or heaviness confusion cough cracks in the skin difficulty with swallowing dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position fainting fast, irregular, pounding, or racing heartbeat or pulse feeling of constant movement of self or surroundings feeling of warmth hives, itching, or rash increased sweating loss of heat from the body nausea or vomiting puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue red, swollen skin redness of the face, neck, arms, and occasionally, upper chest scaly skin sensation of spinning weakness Symptoms of overdose Bluish-colored lips, fingernails, or palms blurred or loss of vision bulging soft spot on the head of an infant change in consciousness change in the ability to see colors, especially blue or yellow cold, clammy skin dark urine difficulty breathing disturbed color perception dizziness or lightheadedness double vision fever flushed skin halos around lights headache, severe and throbbing increased sweating loss of appetite loss of consciousness night blindness overbright appearance of lights pale skin paralysis slow or irregular heartbeat sore throat tunnel vision unusual bleeding or bruising unusual tiredness or weakness Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Less common Abdominal or stomach pain body aches or pain congestion hoarseness lack or loss of strength runny nose sneezing stuffy nose tender, swollen glands in the neck voice changes Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Nitrolingual Pumpspray side effects","nitroglycerin (oral route, sublingual route)",
verapamil,Angina,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: chest pain, fast or slow heart rate ; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; fever, upper stomach pain, not feeling well; or lung problems-- anxiety , sweating, pale skin, wheezing, gasping for breath, cough with foamy mucus. Common side effects may include: nausea , constipation ; headache , dizziness ; or low blood pressure.",verapamil (oral/injection),"Calan, Isoptin SR, Verelan, Calan SR, Isoptin I.V., Covera-HS, Verelan PM"
